,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
55,3.0,51.0,1.0,1.0,1.0,Popular,1950.0,0.0,En proceso,0.0,0.0,0.0,piso,Latina,40.3914,-3.7576,99000.0,44132.0
56,1.0,42.0,1.0,1.0,0.0,Media,1900.0,0.0,E,1.0,0.0,0.0,piso,Fuente del Berro,40.424977,-3.6636998,236000.0,28840.0
57,5.0,153.0,3.0,1.0,1.0,Señorial,1900.0,0.0,E,0.0,1.0,0.0,piso,Embajadores,40.4095856,-3.7029851,950000.0,428936.0
58,3.0,78.0,1.0,1.0,0.0,Popular,1966.0,1.0,E,0.0,1.0,0.0,piso,Concepción,40.4395,-3.6479,249000.0,72802.0
59,3.0,73.0,1.0,1.0,1.0,Media,1974.0,1.0,G,1.0,1.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,137900.0,13364.0
60,3.0,90.0,1.0,1.0,0.0,Popular,1978.0,0.0,E,0.0,1.0,0.0,piso,Portazgo,40.3914367,-3.6481261,199000.0,25598.0
61,1.0,30.0,1.0,1.0,1.0,Media,1920.0,0.0,G,0.0,0.0,0.0,piso,Justicia,40.4232759,-3.6966805,194900.0,36610.0
62,5.0,201.0,3.0,0.0,1.0,Señorial,1982.0,0.0,En proceso,0.0,1.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,368000.0,96718.0
63,3.0,100.0,2.0,0.0,1.0,Media,2001.0,0.0,E,0.0,1.0,0.0,piso,Boadilla del Monte,40.4053485,-3.8764663,529000.0,94480.0
64,3.0,97.0,1.0,1.0,0.0,Señorial,1971.0,1.0,E,1.0,1.0,0.0,piso,San Fernando de Henares,40.4248548,-3.5350369,205000.0,5394.0
65,3.0,111.0,2.0,1.0,0.0,Media,1987.0,1.0,En proceso,1.0,1.0,0.0,piso,Puerta Bonita,40.3813279,-3.7397504,160000.0,116888.0
66,3.0,76.0,1.0,1.0,1.0,Popular,1979.0,1.0,G,1.0,1.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,174900.0,36288.0
67,3.0,80.0,1.0,1.0,1.0,Media,1971.0,1.0,E,1.0,1.0,0.0,piso,Aluche,40.392356,-3.7571096,190000.0,37192.0
